iter	Passed	Remaining
1177	3606	11701
1178	3609	11697
1179	3612	11694
1180	3615	11691
1181	3618	11687
1182	3621	11684
1183	3624	11681
1184	3627	11678
1185	3630	11674
1186	3633	11671
1187	3636	11668
1188	3639	11664
1189	3642	11661
1190	3645	11658
1191	3648	11654
1192	3651	11651
1193	3654	11647
1194	3657	11644
1195	3660	11641
1196	3663	11637
1197	3665	11634
1198	3668	11631
1199	3671	11627
1200	3674	11623
1201	3677	11620
1202	3680	11617
1203	3683	11613
1204	3686	11610
1205	3689	11606
1206	3692	11602
1207	3695	11599
1208	3698	11596
1209	3701	11592
1210	3703	11588
1211	3706	11585
1212	3710	11582
1213	3712	11579
1214	3715	11575
1215	3718	11572
1216	3721	11569
1217	3724	11565
1218	3727	11562
1219	3730	11558
1220	3733	11555
1221	3736	11551
1222	3739	11548
1223	3742	11544
1224	3745	11542
1225	3748	11539
1226	3751	11536
1227	3754	11532
1228	3757	11529
1229	3760	11525
1230	3763	11522
1231	3766	11519
1232	3769	11515
1233	3772	11512
1234	3775	11509
1235	3778	11506
1236	3781	11503
1237	3784	11500
1238	3787	11497
1239	3790	11493
1240	3793	11490
1241	3796	11487
1242	3799	11484
1243	3802	11481
1244	3805	11477
1245	3808	11474
1246	3811	11471
1247	3814	11468
1248	3817	11465
1249	3820	11462
1250	3823	11459
1251	3826	11456
1252	3830	11453
1253	3833	11450
1254	3836	11447
1255	3839	11444
1256	3842	11441
1257	3845	11438
1258	3849	11437
1259	3852	11434
1260	3855	11432
1261	3858	11429
1262	3861	11426
1263	3864	11423
1264	3868	11420
1265	3871	11417
1266	3874	11414
1267	3877	11411
1268	3880	11408
1269	3883	11405
1270	3886	11402
1271	3889	11398
1272	3892	11395
1273	3895	11392
1274	3898	11389
1275	3901	11386
1276	3904	11382
1277	3907	11379
1278	3910	11376
1279	3913	11373
1280	3916	11370
1281	3919	11367
1282	3922	11363
1283	3925	11360
1284	3928	11357
1285	3931	11354
1286	3934	11352
1287	3937	11348
1288	3940	11345
1289	3943	11342
1290	3947	11339
1291	3950	11336
