iter	Passed	Remaining
1477	4505	10735
1478	4508	10732
1479	4511	10729
1480	4514	10725
1481	4517	10722
1482	4520	10719
1483	4522	10715
1484	4525	10712
1485	4528	10708
1486	4531	10705
1487	4534	10702
1488	4537	10698
1489	4540	10695
1490	4543	10691
1491	4545	10688
1492	4548	10684
1493	4551	10681
1494	4554	10678
1495	4557	10675
1496	4560	10671
1497	4563	10668
1498	4566	10665
1499	4569	10662
1500	4572	10658
1501	4575	10655
1502	4578	10651
1503	4580	10648
1504	4583	10645
1505	4586	10641
1506	4589	10638
1507	4592	10634
1508	4595	10631
1509	4598	10627
1510	4601	10624
1511	4604	10620
1512	4606	10617
1513	4609	10614
1514	4612	10610
1515	4615	10607
1516	4618	10603
1517	4621	10600
1518	4624	10597
1519	4627	10593
1520	4629	10589
1521	4632	10586
1522	4638	10588
1523	4641	10585
1524	4644	10582
1525	4647	10579
1526	4649	10575
1527	4652	10572
1528	4655	10569
1529	4658	10566
1530	4662	10563
1531	4664	10560
1532	4668	10557
1533	4671	10553
1534	4673	10550
1535	4676	10547
1536	4679	10544
1537	4682	10540
1538	4685	10537
1539	4688	10534
1540	4691	10530
1541	4694	10527
1542	4697	10523
1543	4700	10520
1544	4703	10517
1545	4706	10514
1546	4709	10510
1547	4712	10507
1548	4714	10504
1549	4717	10500
1550	4720	10497
1551	4723	10494
1552	4726	10491
1553	4729	10488
1554	4732	10484
1555	4735	10481
1556	4738	10478
1557	4741	10474
1558	4744	10471
1559	4747	10467
1560	4750	10465
1561	4753	10461
1562	4755	10458
1563	4758	10454
1564	4761	10451
1565	4764	10448
1566	4767	10445
1567	4770	10441
1568	4773	10438
1569	4776	10434
1570	4779	10431
1571	4782	10428
1572	4784	10424
1573	4787	10421
1574	4790	10417
1575	4793	10414
1576	4796	10411
1577	4799	10407
1578	4802	10404
1579	4805	10401
1580	4808	10398
1581	4811	10394
1582	4814	10391
1583	4817	10388
1584	4819	10384
1585	4822	10381
1586	4825	10377
1587	4828	10374
1588	4831	10371
1589	4834	10367
1590	4837	10366
1591	4840	10362
1592	4843	10359
1593	4846	10356
1594	4849	10352
1595	4852	10349
1596	4855	10346
1597	4858	10343
1598	4861	10339
1599	4864	10336
1600	4867	10333
1601	4870	10329
1602	4873	10326
1603	4876	10323
1604	4878	10320
1605	4881	10316
1606	4884	10313
1607	4887	10310
1608	4890	10307
1609	4893	10303
1610	4896	10300
1611	4899	10297
1612	4902	10294
1613	4905	10290
1614	4908	10287
1615	4911	10284
1616	4914	10280
1617	4916	10277
1618	4919	10274
1619	4922	10271
1620	4925	10268
1621	4929	10265
1622	4931	10261
1623	4934	10258
1624	4937	10255
1625	4940	10252
1626	4943	10249
1627	4946	10245
1628	4949	10242
1629	4952	10239
